//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

akwardpotion;minecraft:potion;16;Uncraftable Potion
alchemist_amulet;millenaire:alchemist_amulet;0;Amulet of the Alchemist
alchemistexplosive;millenaire:alchemistexplosive;0;Alchemist's Explosive
apple;minecraft:apple;0;Apple
arrow;minecraft:arrow;0;Arrow
baked_potato;minecraft:baked_potato;0;Baked Potato
bearmeat_cooked;millenaire:bearmeat_cooked;0;Bear Steak
bearmeat_raw;millenaire:bearmeat_raw;0;Raw Bear Meat
bed_straw;millenaire:bed_straw;0;Straw Bed
beefcooked;minecraft:cooked_beef;0;Steak
beefraw;minecraft:beef;0;Raw Beef
bone;minecraft:bone;0;Bone
boneblock;minecraft:bone_block;0;Bone Block
book;minecraft:book;0;Book
bookandquill;minecraft:writable_book;0;Book and Quill
bookshelves;minecraft:bookshelf;0;Oak Bookshelf
bottle;minecraft:glass_bottle;0;Glass Bottle
boudin;millenaire:boudin;0;Boudin Noir
bow;minecraft:bow;0;Bow
bowlempty;minecraft:bowl;0;Bowl
bowlsoup;minecraft:mushroom_stew;0;Mushroom Stew
bread;minecraft:bread;0;Bread
brickmould;millenaire:brickmould;0;Brick Mould
bricks;minecraft:brick_block;0;Bricks
bucketempty;minecraft:bucket;0;Bucket
bucketlava;minecraft:lava_bucket;0;Lava Bucket
bucketmilk;minecraft:milk_bucket;0;Milk
bucketwater;minecraft:water_bucket;0;Water Bucket
byzantine_stone_tiles;millenaire:byzantine_stone_tiles;0;Byzantine Stone Tile
byzantine_tiles;millenaire:byzantine_tiles;0;Byzantine Tiles
byzantine_tiles_slab;millenaire:byzantine_tiles_slab;0;Byzantine Tile Slab
byzantineboots;millenaire:byzantineboots;0;Byzantine Boots
byzantinehelmet;millenaire:byzantinehelmet;0;Byzantine Helmet
byzantineiconlarge;millenaire:byzantineiconlarge;0;Large Byzantine Icon
byzantineiconmedium;millenaire:byzantineiconmedium;0;Medium Byzantine Icon
byzantineiconsmall;millenaire:byzantineiconsmall;0;Small Byzantine Icon
byzantinelegs;millenaire:byzantinelegs;0;Byzantine Leggings
byzantinemace;millenaire:byzantinemace;0;Byzantine Mace
byzantineplate;millenaire:byzantineplate;0;Byzantine Chestplate
cacauhaa;millenaire:cacauhaa;0;Cacauhaa
cactus;minecraft:cactus;0;Cactus
cake;minecraft:cake;0;Cake
calva;millenaire:calva;0;Calva
carpet_black;minecraft:carpet;15;Black Carpet
carpet_blue;minecraft:carpet;11;Blue Carpet
carpet_brown;minecraft:carpet;12;Brown Carpet
carpet_cyan;minecraft:carpet;9;Cyan Carpet
carpet_gray;minecraft:carpet;7;Gray Carpet
carpet_green;minecraft:carpet;13;Green Carpet
carpet_light blue;minecraft:carpet;3;Light Blue Carpet
carpet_light gray;minecraft:carpet;8;Light Gray Carpet
carpet_lime;minecraft:carpet;5;Lime Carpet
carpet_magenta;minecraft:carpet;2;Magenta Carpet
carpet_orange;minecraft:carpet;1;Orange Carpet
carpet_pink;minecraft:carpet;6;Pink Carpet
carpet_purple;minecraft:carpet;10;Purple Carpet
carpet_red;minecraft:carpet;14;Red Carpet
carpet_white;minecraft:carpet;0;White Carpet
carpet_yellow;minecraft:carpet;4;Yellow Carpet
carrot;minecraft:carrot;0;Carrot
